Journal title,Alternative title,Publisher,Society or institution,Country of publisher,Journal article processing charges (APCs),APC amount,Currency,Journal article submission fee,Submission fee amount,Submission fee currency,First calendar year journal provided online Open Access content,Full text language,Review process,Average number of weeks between submission and publication,Journal license,License attributes,Author holds copyright without restrictions,Author holds publishing rights without restrictions
npj Schizophrenia,,Nature Publishing Group,Schizophrenia International Research Society,United States,Yes,3300,USD - US Dollar,,,,2015,English,Blind peer review,15,CC BY,,TRUE,TRUE
Perspectives on Terrorism,PT,University of Massachusetts Lowell,Terrorism Research Initiative,United States,No,,,,,,2007,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Data in Brief,,Elsevier,,United States,Yes,500,USD - US Dollar,,,,2014,English,Peer review,4,CC BY,,TRUE,TRUE
Gynecologic Oncology Reports,,Elsevier,,United States,Yes,1650,USD - US Dollar,,,,2014,English,Peer review,13,CC BY-NC-ND,,FALSE,FALSE
International Journal of Women's Dermatology,,Elsevier,,United States,Yes,800,USD - US Dollar,,,,2015,English,Blind peer review,18,CC BY-NC-ND,,FALSE,FALSE
Clinical Nutrition Experimental,,Elsevier,,United States,Yes,1200,USD - US Dollar,,,,2015,English,Blind peer review,18,CC BY-NC-ND,,FALSE,FALSE
OpenNano,,Elsevier,,United States,Yes,2000,USD - US Dollar,,,,2016,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Patient Experience Journal,,The Beryl Institute,,United States,No,,,,,,2014,English,Double blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
AIMS Molecular Science,,AIMS Press, American  Institute of Mathematical Sciences ,United States,No,,,,,,2014,English,Peer review,5,CC BY,,TRUE,TRUE
AIMS Environmental Science,,AIMS Press,American  Institute of Mathematical Sciences ,United States,No,,,,,,2014,English,Peer review,5,CC BY,,TRUE,TRUE
AIMS Materials Science,,AIMS Press,American Institute of Mathematical Sciences ,United States,No,,,,,,2014,English,Peer review,4,CC BY,,TRUE,TRUE
International ResearchScape Journal,,Bowling Green State University,Bowling Green State University International Studies Program,United States,No,,,,,,2013,English,Editorial review,20,Publisher's own license,,TRUE,FALSE
Columbia Social Work Review,,Columbia University Libraries,Columbia University,United States,No,,,,,,2006,English,Blind peer review,28,CC BY-NC,,TRUE,TRUE
Networks and Neighbours,N&N,punctum,,United States,No,,,,,,2013,English,Double blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Animal Behavior and Cognition,,Animal Behavior and Cognition,,United States,No,,,,,,2014,English,Peer review,20,CC BY,,TRUE,TRUE
Journal of Education in New Century,,New Century Science Press LLC,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Journal of Global Radiology,JGR,University of Massachusetts Medical School,"University of Massachusetts Medical School, Department of Radiology",United States,No,,,,,,2015,English,Double blind peer review,12,CC BY,,TRUE,TRUE
NeuroRegulation,NeuroRegulation,International Society for Neurofeedback and Research (ISNR),International Society for Neurofeedback and Research (ISNR),United States,No,,,,,,2014,English,Peer review,19,CC BY,,TRUE,TRUE
The Journal of Entrepreneurial Finance,Journal of Entrepreneurial Finance,Pepperdine University,Pepperdine University,United States,No,,,,,,2014,English,Double blind peer review,13,CC BY-NC,,FALSE,FALSE
Bearing Witness: Joyce Carol Oates Studies,,University of San Francisco,"Gleeson Library, Geschke Center",United States,No,,,,,,2014,English,Double blind peer review,5,CC BY,,TRUE,TRUE
eNeuro,,Society for Neuroscience,Society for Neuroscience,United States,Yes,2925,USD - US Dollar,,,,2015,English,Double blind peer review,16,CC BY,,FALSE,FALSE
Asian/Pacific Island Nursing Journal,,University of Hawaii Press,,United States,Yes,300,USD - US Dollar,,,,2016,English,Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Cliodynamics,Cliodynamics: The Journal of Quantitative History and Cultural Evolution,"eScholarship Publishing, University of California",Evolution Institute,United States,No,,,,,,2010,English,Blind peer review,12,CC BY,,TRUE,TRUE
AIMS Neuroscience,,AIMS Press,American Institute of Mathematical Sciences,United States,No,,,,,,2014,English,Peer review,8,CC BY,,TRUE,TRUE
npj Parkinson's Disease,,Nature Publishing Group,Parkinson's Foundation,United States,Yes,2800,USD - US Dollar,,,,2015,English,Blind peer review,11,CC BY,,TRUE,TRUE
npj Microgravity,,Nature Publishing Group,Arizona State University; NASA,United States,Yes,3300,USD - US Dollar,,,,2015,English,Blind peer review,9,CC BY,,TRUE,TRUE
UC Merced Undergraduate Research Journal,UCM Undergraduate Research Journal,"eScholarship Publishing, University of California",UC Merced,United States,No,,,,,,2013,English,Blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Journal on Best Teaching Practices,JoBTP,TeachingOnPurpose.org,University of Wisconsin-River Falls,United States,No,,,,,,2014,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Transplantation Direct,TXD,Wolters Kluwer,The Transplantation Society,United States,Yes,2200,USD - US Dollar,,,,2015,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Media Industries,,Michigan Publishing,Media Industries Editorial Collective,United States,No,,,,,,2014,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
New Jersey Studies: an Interdisciplinary Journal,,Rutgers University Libraries,Rutgers University,United States,No,,,,,,2015,English,Double blind peer review,18,CC BY-NC,,TRUE,TRUE
Anthropology and Aging,Journal of the Association for Anthropology & Gerontology ,"University Library System, University of Pittsburgh",Association for Anthropology & Gerontology ,United States,No,,,Yes,28,USD - US Dollar,2015,English,Double blind peer review,15,CC BY,,TRUE,TRUE
Academic Pathology,,SAGE Publishing,Association of Pathology Chairs,United States,Yes,1950,USD - US Dollar,,,,2014,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of Patient Experience,,SAGE Publishing,Association for Patient Experience,United States,No,,,,,,2014,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
npj Breast Cancer,,Nature Publishing Group,Breast Cancer Research Foundation,United States,Yes,2800,USD - US Dollar,,,,2015,English,Blind peer review,9,CC BY,,TRUE,TRUE
"International Journal of Aviation, Aeronautics, and Aerospace",IJAAA,Embry-Riddle Aeronautical University,,United States,No,,,,,,2014,English,Double blind peer review,4,CC BY-NC-ND,,FALSE,FALSE
American Review of Politics,,University of Oklahoma Libraries,,United States,No,,,,,,2016,English,Double blind peer review,12,CC BY-NC-SA,,TRUE,TRUE
Journal of Forensic Research and Crime Studies,,Jscholar,,United States,Yes,777,USD - US Dollar,,,,2014,English,Peer review,2,CC BY,,TRUE,FALSE
ACS Central Science,,American Chemical Society,American Chemical Society,United States,No,,,,,,2015,English,Blind peer review,9,CC BY-NC-ND,,FALSE,FALSE
Analytic Teaching and Philosophical Praxis,AT&PP,Viterbo University,,United States,No,,,,,,2009,English,Double blind peer review,16,CC BY,,FALSE,FALSE
AIMS Bioengineering,,AIMS Press ,,United States,Yes,300,USD - US Dollar,,,,2014,English,Peer review,4,CC BY,,TRUE,TRUE
AIMS Medical Science,,American Institute of Mathematical Sciences,,United States,No,,,,,,2014,English,Peer review,12,CC BY,,TRUE,TRUE
Neurotransmitter,,Smart Science & Technology LLC,,United States,Yes,1280,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
RNA and DISEASE,,Smart Science & Technology LLC,,United States,Yes,800,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
Science Advances,,AAAS,,United States,Yes,4000,USD - US Dollar,,,,2015,English,Peer review,27,CC BY-NC,,TRUE,TRUE
The Reading Room: A Journal of Special Collections,,University at Buffalo,,United States,No,,,,,,2015,English,Blind peer review,14,CC BY-NC-SA,,TRUE,TRUE
Therapeutic Targets for Neurological Diseases,,Smart Science & Technology LLC,,United States,Yes,1280,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
Andrews University Seminary Student Journal,AUSSJ,Andrews University,Andrews University,United States,No,,,,,,2015,English,Blind peer review,12,Publisher's own license,Attribution,TRUE,TRUE
PeerJ Computer Science,,PeerJ Inc.,,United States,Yes,895,USD - US Dollar,,,,2015,English,Peer review,10,CC BY,,TRUE,TRUE
Collabra,,University of California Press,,United States,Yes,875,USD - US Dollar,,,,2015,English,Peer review,18,CC BY,,TRUE,TRUE
Neurology: Genetics,,Wolters Kluwer,American Academy of Neurology,United States,Yes,3200,USD - US Dollar,,,,2015,English,Double blind peer review,15,CC BY-NC-ND,,FALSE,FALSE
EuroAmerican Journal of Applied Linguistics and Languages,E-JournALL,E-JournALL,,United States,No,,,,,,2014,"English, Italian, Spanish; Castilian",Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Journal of Sports Medicine and Allied Health Sciences: Official Journal of the Ohio Athletic Trainers' Association,JSMAHS,Bowling Green State University,Ohio Athletic Trainers' Association,United States,No,,,,,,2015,English,Double blind peer review,16,Publisher's own license,Attribution,FALSE,FALSE
International Journal of Nuclear Security,,Institute for Nuclear Security,University of Tennessee,United States,Yes,1800,USD - US Dollar,,,,2015,English,Blind peer review,8,CC BY,,TRUE,TRUE
AIMS Genetics,,AIMS Press,,United States,No,,,,,,2014,English,Peer review,12,CC BY,,TRUE,TRUE
Stem Cell and Translational Investigation,,Smart Science & Technology LLC,,United States,Yes,1280,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
TOFIQ Journal of Medical Sciences,,TOFIQ,Iraqi American Academics Society,United States,No,,,,,,2014,English,Blind peer review,4,CC BY,,TRUE,TRUE
Joint and Bone Science Journal,JBSJournal,JBS Masters Center,,United States,Yes,250,USD - US Dollar,,,,2014,English,Double blind peer review,6,CC BY-NC-ND,,FALSE,FALSE
Secrecy and Society,,SJSU Scholarworks,San Jose State University,United States,No,,,,,,2016,English,Peer review,12,CC BY,,TRUE,TRUE
RSF: The Russell Sage Foundation Journal of the Social Sciences,RSF,Russell Sage Foundation,Russell Sage Foundation,United States,No,,,,,,2015,English,Blind peer review,53,CC BY-NC-ND,,FALSE,FALSE
Personnel Assessment and Decisions,, International Personnel Assessment Council (IPAC),International Personnel Assessment Council,United States,No,,,,,,2015,English,Double blind peer review,53,Publisher's own license,Attribution,TRUE,TRUE
AIMS Biophysics,,AIMS Press ,,United States,No,,,,,,2014,English,Peer review,8,CC BY,,TRUE,TRUE
SAGE Open Nursing,,SAGE Publishing,,United States,Yes,895,USD - US Dollar,,,,2015,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
APL Photonics,,AIP Publishing LLC,American Institute of Physics,United States,Yes,2200,USD - US Dollar,,,,2016,English,Peer review,19,CC BY,,TRUE,TRUE
Limnology and Oceanography Letters,LOL,Wiley,Association for the Sciences of Limnology and Oceanography (ASLO),United States,Yes,2500,USD - US Dollar,,,,2016,English,Blind peer review,25,CC BY,,TRUE,TRUE
The VAD Journal: The Journal of Mechanical Assisted Circulation and Heart Failure,The VAD Journal,"Gill Heart Institute, University of Kentucky","Gill Heart Institute, University of Kentucky",United States,Yes,200,USD - US Dollar,,,,2015,English,Peer review,3,CC BY-NC,,TRUE,TRUE
Journal of Montessori Research,JoMr,University of Kansas,American Montessori Society,United States,No,,,,,,2016,English,Double blind peer review,21,CC BY-NC,,TRUE,TRUE
The Surgery Journal ,,Thieme Medical Publishers,,United States,Yes,500,USD - US Dollar,,,,2015,English,Blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Journal of Management and Innovation,,Mercy College School of Business,,United States,No,,,,,,2015,English,Blind peer review,5,CC BY,,TRUE,TRUE
Recent Advances in Biology and Medicine,RABM,HATASO,,United States,No,,,,,,2015,English,Double blind peer review,6,CC BY,,TRUE,TRUE
Laryngoscope Investigative Otolaryngology,,Wiley,The Triological Society,United States,Yes,1950,USD - US Dollar,,,,2016,English,Blind peer review,11,CC BY-NC-ND,,FALSE,FALSE
Journal of Global Oncology,JGO,American Society of Clinical Oncology,,United States,Yes,4000,USD - US Dollar,,,,2015,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Middle Grades Review,,University of Vermont,Middle Grades Collaborative,United States,No,,,,,,2015,English,Peer review,14,CC BY-NC-ND,,TRUE,TRUE
mSphere,,American Society for Microbiology,,United States,Yes,3000,USD - US Dollar,,,,2016,English,Blind peer review,11,CC BY,,TRUE,TRUE
mSystems,,American Society for Microbiology,,United States,Yes,3000,USD - US Dollar,,,,2016,English,Blind peer review,13,CC BY,,TRUE,TRUE
Ledger,,"University Library System, University of Pittsburgh",,United States,No,,,,,,2016,English,Open peer review,40,CC BY,,TRUE,TRUE
Learning Health Systems ,,Wiley,University of Michigan,United States,Yes,2000,USD - US Dollar,,,,2016,English,Blind peer review,20,CC BY-NC,,TRUE,TRUE
Computational Psychiatry,,The MIT Press,Massachusetts Institute of Technology,United States,Yes,2500,USD - US Dollar,,,,2017,English,Blind peer review,17,CC BY,,FALSE,FALSE
Journal of Women's Health and Gynecology,,Jscholar Publishers,,United States,Yes,777,USD - US Dollar,,,,2014,English,Peer review,3,CC BY,,FALSE,FALSE
Marshall Journal of Medicine ,MJM,Marshall University,Marshall University ,United States,Yes,400,USD - US Dollar,,,,2015,English,Double blind peer review,8,CC BY-ND,,TRUE,TRUE
Transgender Health ,,Mary Ann Liebert,,United States,Yes,1000,USD - US Dollar,,,,2016,English,Blind peer review,18,CC BY,,TRUE,TRUE
communication +1,,ScholarWorks @ UMass Amherst,"University of Massachusetts, Amherst",United States,No,,,,,,2012,English,Double blind peer review,20,CC BY-SA,,TRUE,TRUE
Bioengineering and Translational Medicine,BioTM,Wiley,American Institute of Chemical Engineers; Society for Biological Engineering,United States,Yes,1800,USD - US Dollar,,,,2016,English,Peer review,12,CC BY,,TRUE,TRUE
Interdisciplinary Journal of Partnership Studies,,University of Minnesota Libraries Publishing,,United States,No,,,,,,2014,English,Double blind peer review,26,CC BY-NC,,TRUE,TRUE
Journal of Public and Nonprofit Affairs,,Midwest Public Affairs Conference,Midwest Public Affairs Conference,United States,No,,,,,,2015,English,Double blind peer review,16,CC BY,,TRUE,TRUE
MDM Policy and Practice,,SAGE Publishing,Society for Medical Decision Making,United States,Yes,2500,USD - US Dollar,,,,2016,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Energy and Policy Research,,Taylor & Francis Group,,United States,Yes,1500,USD - US Dollar,,,,2016,English,Blind peer review,11,CC BY-NC,,FALSE,FALSE
Oncobiology and Targets,,HATASO,,United States,No,,,,,,2014,English,Double blind peer review,8,CC BY,,TRUE,TRUE
npj Precision Oncology,,Nature Publishing Group,"The Hormel Institute, University of Minnesota",United States,Yes,2800,GBP - Pound Sterling,,,,2017,English,Blind peer review,18,CC BY,,TRUE,TRUE
npj Digital Medicine,,Nature Publishing Group,Scripps Translational Science Institute,United States,Yes,2800,USD - US Dollar,,,,2018,English,Blind peer review,15,CC BY,,TRUE,TRUE
Health Science Reports ,,Wiley,,United States,Yes,2200,USD - US Dollar,,,,2018,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
"Endocrinology, Diabetes and Metabolism",,Wiley,,United States,Yes,2000,USD - US Dollar,,,,2018,English,Blind peer review,6,CC BY-NC-ND,,FALSE,FALSE
"Engaging Science, Technology, and Society",ESTS,Society for Social Studies of Science,Society for Social Studies of Science,United States,No,,,,,,2015,English,Double blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
"Advances in Science, Technology and Engineering Systems",,"Advances in Science, Technology and Engineering Systems Journal (ASTESJ)",,United States,Yes,300,USD - US Dollar,,,,2016,English,Double blind peer review,8,CC BY-SA,,FALSE,FALSE
Contemporary Clinical Trials Communications,,Elsevier,,United States,Yes,1950,USD - US Dollar,,,,2015,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Transplantation Reports,,Elsevier,,United States,Yes,1800,USD - US Dollar,,,,2016,English,Blind peer review,30,CC BY-NC-ND,,FALSE,FALSE
Neurobiology of Sleep and Circadian Rhythms,,Elsevier,,United States,Yes,1500,USD - US Dollar,,,,2016,English,Blind peer review,9,CC BY-NC-ND,,FALSE,FALSE
Neurobiology of Pain,,Elsevier,,United States,Yes,1800,USD - US Dollar,,,,2017,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Advances in Radiation Oncology,,Elsevier,American Society for Radiation Oncology,United States,Yes,2000,USD - US Dollar,,,,2016,English,Double blind peer review,6,CC BY-NC-ND,,FALSE,FALSE
JACC: Basic to Translational Science,,Elsevier,American College of Cardiology,United States,Yes,3400,USD - US Dollar,,,,2016,English,Blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Kidney International Reports,,Elsevier,International Society of Nephrology,United States,Yes,3200,USD - US Dollar,,,,2016,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Pathogens and Immunity,Pathogens & Immunity,Case Western Reserve University,,United States,No,,,,,,2016,English,Blind peer review,10,CC BY,,TRUE,TRUE
New Trends in Social and Liberal Sciences,NETSOL,University of Texas Rio Grande Valley,"University of Texas Rio Grande Valley, Department of History",United States,No,,,,,,2016,English,Double blind peer review,12,CC BY,,FALSE,FALSE
Management and Economics Research Journal ,,HATASO,,United States,Yes,75,USD - US Dollar,,,,2015,English,Blind peer review,6,CC BY,,TRUE,TRUE
Journal of Lusophone Studies,JLS,American Portuguese Studies Association (APSA),American Portuguese Studies Association,United States,No,,,,,,2016,"English, Portuguese",Peer review,20,CC BY,,TRUE,TRUE
International Journal of Educational Methodology,,Tayfun Yagar,,United States,Yes,200,USD - US Dollar,,,,2015,English,Double blind peer review,6,CC BY,,TRUE,TRUE
Physical Review Accelerators and Beams,,American Physical Society,American Physical Society,United States,No,,,,,,2016,English,Peer review,23,CC BY,,TRUE,TRUE
Physical Review Physics Education Research,,American Physical Society,American Physical Society,United States,Yes,1800,USD - US Dollar,,,,2016,English,Peer review,32,CC BY,,TRUE,TRUE
ACS Omega,,American Chemical Society,,United States,Yes,750,USD - US Dollar,,,,2016,English,Blind peer review,4,CC BY-NC-ND,,FALSE,FALSE
Gender and the Genome,,SAGE Publishing,Foundation for Gender-Specific Medicine,United States,Yes,750,USD - US Dollar,,,,2017,English,Blind peer review,5,CC BY-NC,,FALSE,FALSE
Open Mind,,The MIT Press,Massachusetts Institute of Technology,United States,Yes,950,USD - US Dollar,,,,2017,English,Double blind peer review,53,CC BY,,FALSE,FALSE
Diagonal: An Ibero-American Music Review,,"eScholarship Publishing, University of California",University of California Riverside,United States,No,,,,,,2015,"English, Portuguese, Spanish; Castilian",Blind peer review,30,CC BY,,TRUE,TRUE
Journal of Veterans Studies ,,Virginia Tech Libraries,,United States,No,,,,,,2016,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Chronic Stress,,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2017,English,Blind peer review,6,CC BY-NC,,FALSE,FALSE
Quarterly Horse,,Rocky Mountain Chapter of the American Studies Association,,United States,No,,,,,,2016,English,Editorial review,16,CC BY-NC,,TRUE,TRUE
"HSOA Journal of Alternative, Complementary and Integrative Medicine",,Herald Scholarly Open Access,,United States,Yes,1375,USD - US Dollar,,,,2015,English,Double blind peer review,8,CC BY-SA,,TRUE,TRUE
"International Journal of Advanced Network, Monitoring, and Controls",,Exeley Inc.,Xi'an Technological University,United States,No,,,,,,2016,English,Blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Epilepsia Open,,Wiley,International League Against Epilepsy (ILAE) ,United States,Yes,2400,USD - US Dollar,,,,2016,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Theory and Applications of Graphs,,Georgia Southern University,,United States,No,,,,,,2014,English,Blind peer review,20,CC BY,,TRUE,TRUE
Georgia Educational Researcher,GER,Georgia Southern University,Georgia Educational Research Association (GERA),United States,No,,,,,,2003,English,Double blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
GeoHealth,,American Geophysical Union (AGU),,United States,Yes,1800,USD - US Dollar,,,,2017,English,Blind peer review,19,CC BY-NC-ND,,FALSE,FALSE
AIMS Microbiology,,AIMS Press,,United States,Yes,300,USD - US Dollar,,,,2015,English,Peer review,8,CC BY,,TRUE,TRUE
Open Rivers,,University of Minnesota Libraries Publishing,,United States,No,,,,,,2016,English,Editorial review,10,CC BY-NC,,TRUE,TRUE
AIMS Agriculture and Food,,AIMS Press,,United States,No,,,,,,2016,English,Blind peer review,8,CC BY,,TRUE,TRUE
AIMS Geosciences,,AIMS Press,,United States,No,,,,,,2015,English,Blind peer review,8,CC BY,,TRUE,TRUE
PAIN Reports,,Wolters Kluwer,International Association for the Study of Pain,United States,Yes,2500,USD - US Dollar,,,,2016,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Hepatology Communications,,Wiley,American Association for the Study of Liver Diseases ,United States,Yes,2500,USD - US Dollar,,,,2017,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Phytobiomes Journal,Phytobiomes,The American Phytopathological Society,,United States,Yes,1350,USD - US Dollar,,,,2017,English,Blind peer review,4,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,FALSE
Journal of Tolkien Research,,Valparaiso University,Valparaiso University,United States,No,,,,,,2015,English,Double blind peer review,8,CC BY,,TRUE,TRUE
Agricultural and Environmental Letters,,American Society of Agronomy; Crop Science Society of America; Soil Science Society of America,,United States,Yes,1475,USD - US Dollar,,,,2016,English,Blind peer review,17,CC BY-NC-ND,,FALSE,FALSE
Hungarian Cultural Studies,,"University Library System, University of Pittsburgh",American Hungarian Educators Association (AHEA),United States,No,,,,,,2008,"English, Hungarian",Double blind peer review,6,CC BY,,TRUE,TRUE
Journal of the Georgia Public Health Association,JGPHA,Georgia Public Health Association,Georgia Public Health Association,United States,No,,,,,,2006,English,Blind peer review,10,CC BY-NC-ND,,TRUE,TRUE
Pediatric Quality and Safety,,Wolters Kluwer,,United States,No,,,,,,2016,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Network Neuroscience,,The MIT Press,Massachusetts Institute of Technology,United States,Yes,1750,USD - US Dollar,,,,2017,English,Blind peer review,16,CC BY,,FALSE,FALSE
Journal of the Endocrine Society,,Endocrine Society,,United States,Yes,3000,USD - US Dollar,,,,2017,English,Blind peer review,9,CC BY-NC-ND,,FALSE,FALSE
Dignity: A Journal on Sexual Exploitation and Violence,,Dignity: A Journal on Sexual Exploitation and Violence,,United States,No,,,,,,2016,English,Double blind peer review,10,CC BY-NC-ND,,TRUE,TRUE
People Living with And Inspired by Diabetes,PLAID,Florida State University College of Medicine,Charlotte Edwards Maguire Medical Library,United States,No,,,,,,2015,English,Double blind peer review,10,CC BY,,TRUE,TRUE
JBJS Open Access,JB&JS Open Access,Wolters Kluwer,"The Journal of Bone and Joint Surgery, Inc",United States,Yes,2250,USD - US Dollar,,,,2016,English,Double blind peer review,6,CC BY-NC-ND,,FALSE,FALSE
Foot and Ankle Orthopaedics,,SAGE Publishing,American Orthopaedic Foot & Ankle Society,United States,Yes,1000,USD - US Dollar,,,,2016,English,Double blind peer review,10,CC BY-NC,,FALSE,FALSE
Health Equity ,,Mary Ann Liebert,Institute for Professional Education,United States,No,,,,,,2017,English,Blind peer review,24,CC BY,,TRUE,TRUE
The University of Louisville Journal of Respiratory Infections,Journal of Respiratory Infections,University of Louisville,,United States,No,,,,,,2017,English,Double blind peer review,7,CC BY-ND,,TRUE,TRUE
APL Bioengineering,,AIP Publishing LLC,American Institute of Physics,United States,Yes,2200,USD - US Dollar,,,,2017,English,Peer review,19,CC BY,,TRUE,TRUE
JBMR Plus ,,Wiley,American Society for Bone and Mineral Research,United States,Yes,2500,USD - US Dollar,,,,2017,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
"Markets, Globalization and Development Review: The Official Journal of the International Society of Markets and Development",MGDR,Editorial Board of MGDR,International Society of Markets and Development,United States,No,,,,,,2016,English,Double blind peer review,6,CC BY,,TRUE,TRUE
Investigacion Cualitativa,Investigacão Qualitativa,Investigacion Cualitativa,Grupo de Interés Especial en Investigación Cualitativa en Español y Portugués                                                                                         International Association of Qualitative Inquiry ,United States,No,,,,,,2016,"Portuguese, Spanish; Castilian",Double blind peer review,6,CC BY,,TRUE,FALSE
AIMS Mathematics,,AIMS Press,,United States,No,,,,,,2016,English,Blind peer review,14,CC BY,,TRUE,TRUE
Journal of Copyright in Education and Librarianship,JCEL,Clemson University Press,,United States,No,,,,,,2016,English,Double blind peer review,4,CC BY,,TRUE,TRUE
OTO Open,OTO Open: The Official Open Access Journal of the American Academy of Otolaryngology–Head and Neck Surgery Foundation,SAGE Publishing,AAO-HNSF,United States,Yes,1300,USD - US Dollar,,,,2017,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Canadian Journal of Pain,Revue Canadienne de la Douleur,Taylor & Francis Group,Canadian Pain Society,United States,Yes,700,USD - US Dollar,,,,2017,"English, French",Blind peer review,7,CC BY-NC,,FALSE,FALSE
Journal of World Philosophies,,Indiana University Press,,United States,No,,,,,,2016,English,Double blind peer review,26,CC BY,,FALSE,FALSE
Journal of Education and Teaching in Emergency Medicine,JETem,"eScholarship Publishing, University of California","University of California, Irvine",United States,Yes,150,USD - US Dollar,,,,2016,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Clinical Practice and Cases in Emergency Medicine,CPC-EM,"eScholarship Publishing, University of California","University of California, Irvine",United States,Yes,500,USD - US Dollar,,,,2017,English,Double blind peer review,21,CC BY,,TRUE,TRUE
International Journal of Librarianship (IJoL),,Chinese American Librarians Association,Chinese American Librarians Association,United States,No,,,,,,2016,English,Double blind peer review,15,CC BY,,TRUE,FALSE
Collabra: Psychology,,University of California Press,Society for the Improvement of Psychological Science,United States,Yes,975,USD - US Dollar,,,,2017,English,Peer review,16,CC BY,,TRUE,TRUE
Internal Medicine and Medical Investigation,IMMINV,Mehrabani Publishing LLC,,United States,Yes,50,USD - US Dollar,,,,2015,English,Double blind peer review,8,CC BY,,TRUE,TRUE
Middle Atlantic Review of Latin American Studies,MARLAS,Middle Atlantic Council of Latin American Studies,,United States,No,,,,,,2017,"English, Portuguese, Spanish; Castilian",Double blind peer review,12,CC BY,,TRUE,TRUE
BJS Open,,Wiley,BJS Society Ltd,United States,Yes,1800,USD - US Dollar,,,,2017,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Annals of Gastroenterological Surgery ,,Wiley,The Japanese Society of Gastroenterological Surgery,United States,Yes,1850,USD - US Dollar,,,,2017,English,Blind peer review,11,CC BY-NC-ND,,FALSE,FALSE
Research and Practice in Thrombosis and Haemostasis,,Wiley,International Society on Thrombosis and Haemostasis,United States,Yes,2000,USD - US Dollar,,,,2017,English,Double blind peer review,7,CC BY-NC-ND,,FALSE,FALSE
"Philosophy, Theory, and Practice in Biology",,Michigan Publishing,,United States,No,,,,,,2017,English,Double blind peer review,24,CC BY-NC-ND,,TRUE,TRUE
Journal of Pancreatic Cancer ,,Mary Ann Liebert,,United States,Yes,1500,USD - US Dollar,,,,2015,English,Blind peer review,14,CC BY,,TRUE,TRUE
Plant Direct ,,Wiley,Society for Experimental Biology; American Association of Plant Biologists,United States,Yes,2200,USD - US Dollar,,,,2017,English,Blind peer review,14,CC BY,,TRUE,TRUE
Chronicles of Health Impact Assessment,CHIA,Indiana University-Purdue University Indianapolis,Indiana University Richard M Fairbanks School of Public Health; Society of Practitioners of Health Impact Assessment,United States,Yes,300,USD - US Dollar,,,,2016,English,Double blind peer review,16,CC BY,,TRUE,TRUE
Marketing Libraries Journal,,Marketing Libraries Journal,,United States,No,,,,,,2017,English,Peer review,20,CC BY-NC-SA,,TRUE,TRUE
Journal of Open Source Software,JOSS,Journal of Open Source Software,,United States,No,,,,,,2016,English,Open peer review,3,CC BY,,TRUE,TRUE
Journal of Evidence-Based Integrative Medicine,JEBIM,SAGE Publishing,,United States,Yes,1200,USD - US Dollar,,,,2018,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
